etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0690173N,https://sciencespo-lyon.fr,,1560,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1574,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1577,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1590,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1616,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1662,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1694,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1714,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1726,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1780,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0911568K,https://www.polytechnique.edu/,"École polytechnique, Route de Saclay, 91128 PALAISEAU CEDEX",2790,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89cole%20polytechnique%20signature.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Ecole%20Polytechnique%20France%20seen%20from%20lake%20DSC03389.JPG
0911568K,https://www.polytechnique.edu/,"Route de Saclay, 91128 Palaiseau Cedex",2790,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89cole%20polytechnique%20signature.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Ecole%20Polytechnique%20France%20seen%20from%20lake%20DSC03389.JPG
0870041X,http://www.lp-vaillant.ac-limoges.fr,38 route du Dérot 87200 Saint-Junien,262,,
0870041X,http://www.lp-vaillant.ac-limoges.fr,38 route du Dérot 87200 Saint-Junien,274,,
0861113T,https://etab.ac-poitiers.fr/lycee-le-verger,14 rue Jean Pidoux 86100 Châtellerault,123,,
0861113T,https://etab.ac-poitiers.fr/lycee-le-verger,14 rue Jean Pidoux 86100 Châtellerault,131,,
0930933J,http://www.assomption-bondy.org,12 avenue de Verdun 93140 Bondy,478,,
0930933J,http://www.assomption-bondy.org,12 avenue de Verdun 93140 Bondy,492,,
0050009H,http://www.lyc-sevigne.ac-aix-marseille.fr,6 rue Jean Macé 05003 Gap,347,,
0050009H,http://www.lyc-sevigne.ac-aix-marseille.fr,6 rue Jean Macé 05003 Gap,358,,
0140014P,http://lycee-fresnel.etab.ac-caen.fr,77 rue Eustache Restout BP 26231 14066 Caen,1148,,
0140014P,http://lycee-fresnel.etab.ac-caen.fr,77 rue Eustache Restout BP 26231 14066 Caen,1198,,
0711494N,http://www.esca71.fr,7 rue Saint-Germain BP 138 71400 Autun,156,,
0711494N,http://www.esca71.fr,7 rue Saint-Germain BP 138 71400 Autun,162,,
0352373P,http://www.ecole-eme.fr,,,,
0160002R,https://etab.ac-poitiers.fr/lycee-guez-de-balzac/,Place Beaulieu CS 62102 16021 Angoulême,1084,,
0160002R,https://etab.ac-poitiers.fr/lycee-guez-de-balzac/,Place Beaulieu CS 62102 16021 Angoulême,1123,,
0080028M,http://www.lp-charles-de-gonzague.fr,84 rue du Bois Fortant BP 10512 08003 Charleville-Mézières,408,,
0080028M,http://www.lp-charles-de-gonzague.fr,84 rue du Bois Fortant BP 10512 08003 Charleville-Mézières,433,,
